,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition,Z1_ActualVelocity,clamp_pressure,Y1_CurrentFeedback,X1_OutputPower,Y1_DCBusVoltage,M1_CURRENT_FEEDRATE,Y1_DiffAcceleration
11586,29.5,325.0,0.0565,327.0,-663.0,0.0,4.0,7.75,-3.54e-05,0.152,3.0,-6.25
19419,29.7,326.0,0.0709,327.0,-1590.0,0.025,3.0,6.48,0.00025,0.107,6.0,-2.38
18077,28.7,326.0,0.0998,327.0,459.0,-0.025,3.0,3.24,0.000529,0.0791,3.0,-9.69
16264,35.4,326.0,0.0199,327.0,759.0,-2.88,4.0,0.859,-1.66e-06,0.0285,3.0,12.5
17890,32.2,326.0,0.0271,328.0,-1380.0,-2.9,3.0,1.02,0.0,0.0241,3.0,6.25
24518,30.5,325.0,0.0461,327.0,-463.0,38.1,2.5,0.847,-3.5e-05,0.0218,50.0,-12.5
1272,119.0,332.0,2.79e-19,328.0,-1160.0,0.025,4.0,0.516,5e-07,2.68e-19,50.0,0.0
2593,28.5,324.0,0.116,325.0,1110.0,0.0,4.0,-0.726,0.0049,0.0191,20.0,6.25
6057,28.7,324.0,0.0985,324.0,1400.0,0.0,4.0,4.84,0.00122,0.102,6.0,-6.25
20413,119.0,329.0,2.78e-19,330.0,-273.0,0.0,3.0,-0.259,-4.5e-06,2.78e-19,50.0,0.0
3336,29.8,325.0,0.0261,326.0,342.0,-6.2,3.0,0.0596,-1.43e-05,0.0281,6.0,0.0
436,28.5,324.0,0.0878,326.0,1800.0,0.0,4.0,4.63,0.000295,0.102,6.0,-47.7
15897,54.7,326.0,0.0466,328.0,1360.0,0.0,4.0,-2.64,-1.3e-05,0.0339,50.0,-238.0
3868,27.5,325.0,0.0439,327.0,360.0,0.05,3.0,5.37,-3.32e-05,0.132,6.0,6.25
10920,29.5,325.0,0.0665,327.0,223.0,0.0,4.0,-4.51,0.0,0.0763,3.0,6.128
18504,28.7,326.0,0.109,327.0,-1680.0,-0.025,3.0,-3.6,0.000688,0.0403,3.0,-43.8
14877,29.7,325.0,0.0548,327.0,709.0,0.0,4.0,-4.59,3.3e-05,0.0782,3.0,12.5
16962,55.7,329.0,0.0456,330.0,2150.0,0.0,3.0,-0.466,-6.96e-06,0.0296,50.0,6.25
3976,27.5,325.0,0.0852,327.0,-93.5,0.0,3.0,-0.632,0.00112,0.0157,6.0,-25.0
12453,29.5,326.0,0.0587,327.0,-1540.0,0.025,3.0,-6.86,0.000166,0.113,3.0,29.92
15045,29.7,325.0,0.0572,326.0,-307.0,0.0,4.0,-8.34,1.72e-05,0.155,3.0,0.0
4473,119.0,327.0,0.0194,329.0,-486.0,0.0,2.5,0.538,2.01e-06,0.02,6.0,12.5
14966,28.7,325.0,0.0632,327.0,-489.0,0.0,4.0,-6.79,-1.91e-05,0.123,3.0,-12.5
