,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage,S1_CurrentFeedback,X1_OutputPower,Y1_ActualPosition,X1_ActualVelocity,X1_CurrentFeedback,S1_OutputPower,X1_DiffAcceleration,Z1_DiffAcceleration,Z1_ActualAcceleration,Y1_OutputPower,Y1_CurrentFeedback,S1_DCBusVoltage,Y1_ActualVelocity,X1_ActualAcceleration,X1_ActualPosition,S1_OutputVoltage,X1_DiffVelocity,Y1_DiffAcceleration,S1_ActualAcceleration,Y1_ActualAcceleration,Z1_ActualVelocity
11586,29.5,327.0,28.0,-663.0,325.0,323.0,3.0,0.0565,5.45,4.0,0.152,13.2,23.1,-3.54e-05,101.0,0.075,-4.48,0.19,-43.8,0.0,0.0,0.00104,7.75,0.986,3.05,43.8,141.0,118.0,-0.075,-6.25,-7.75,6.25,0.0
19419,29.7,327.0,25.0,-1590.0,326.0,323.0,6.0,0.0709,6.78,3.0,0.107,14.3,25.5,0.00025,91.4,-1.83,-3.02,0.161,57.0,-12.5,12.5,0.00131,6.48,0.84,5.57,-43.8,142.0,116.0,0.17000000000000015,-2.38,-38.4,6.25,0.025
18077,28.7,327.0,66.0,459.0,326.0,323.0,3.0,0.0998,10.6,3.0,0.0791,9.71,16.8,0.000529,90.0,-2.47,-5.57,0.146,8.22,12.5,-12.5,0.000291,3.24,0.764,1.8,-6.25,143.0,117.0,0.020000000000000018,-9.69,30.8,12.5,-0.025
16264,35.4,327.0,96.0,759.0,326.0,322.0,3.0,0.0199,2.75,4.0,0.0285,0.0979,18.1,-1.66e-06,73.0,-0.05,1.21,0.154,25.0,-50.0,50.0,0.0,0.859,0.802,-0.025,-25.0,151.0,121.0,0.05,12.5,24.5,-12.5,-2.88
17890,32.2,328.0,95.0,-1380.0,326.0,320.0,3.0,0.0271,1.35,3.0,0.0241,0.153,24.3,0.0,73.0,-0.05,2.03,0.181,25.0,-37.5,37.5,0.0,1.02,0.946,-0.025,-25.0,151.0,121.0,0.05,6.25,-47.1,-6.25,-2.9
24518,30.5,327.0,48.0,-463.0,325.0,322.0,50.0,0.0461,4.25,2.5,0.0218,1.43,22.9,-3.5e-05,77.8,-0.05,-2.74,0.19,25.0,-50.0,1050.0,2.78e-06,0.847,0.984,0.05,-25.0,141.0,119.0,0.05,-12.5,-39.3,12.5,38.1
1272,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0,-1.17,5e-07,158.0,0.0,0.153,6.84e-06,0.0,-12.5,12.5,-2.59e-07,0.516,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.687,0.0,0.025
2593,28.5,325.0,2.0,1110.0,324.0,322.0,20.0,0.116,32.4,4.0,0.0191,2.53,23.6,0.0049,105.0,20.0,6.06,0.181,43.8,0.0,0.0,0.0,-0.726,0.943,-0.025,-43.8,146.0,119.0,0.0,6.25,31.8,-6.25,0.0
6057,28.7,324.0,65.0,1400.0,324.0,314.0,6.0,0.0985,13.4,4.0,0.102,6.1,20.1,0.00122,89.5,-5.85,-5.79,0.164,-81.2,0.0,0.0,8.12e-05,4.84,0.863,0.0,81.2,145.0,119.0,-0.15000000000000036,-6.25,57.0,6.25,0.0
20413,119.0,330.0,2.0,-273.0,329.0,330.0,50.0,2.78e-19,0.0,3.0,2.78e-19,0.0,-0.32,-4.5e-06,158.0,0.0,-0.619,3.13e-06,0.0,0.0,0.0,-2.45e-06,-0.259,2.77e-19,0.0,0.0,198.0,0.0,0.0,0.0,0.438,0.0,0.0
3336,29.8,326.0,14.0,342.0,325.0,319.0,6.0,0.0261,3.41,3.0,0.0281,2.48,61.6,-1.43e-05,73.0,-0.05,0.878,0.211,25.0,31.3,-31.3,0.0,0.0596,2.67,0.0,-25.0,151.0,63.3,0.05,0.0,112.0,0.0,-6.2
436,28.5,326.0,2.0,1800.0,324.0,322.0,6.0,0.0878,7.26,4.0,0.102,14.4,24.0,0.000295,77.4,1.73,4.57,0.201,-77.47,0.0,0.0,0.00129,4.63,1.05,6.05,68.7,159.0,120.0,-0.21999999999999997,-47.7,-24.4,50.0,0.0
15897,54.7,328.0,52.0,1360.0,326.0,321.0,50.0,0.0466,2.5,4.0,0.0339,1.5,21.0,-1.3e-05,73.0,-0.425,2.79,0.174,450.0,-500.0,0.0,-1.73e-05,-2.64,0.903,0.2,-450.0,151.0,117.0,0.425,-238.0,-71.1,238.0,0.0
3868,27.5,327.0,108.0,360.0,325.0,324.0,6.0,0.0439,4.8,3.0,0.132,15.1,22.4,-3.32e-05,94.5,-0.025,-3.09,0.179,12.5,-18.8,18.8,0.00164,5.37,0.934,5.75,-12.5,141.0,121.0,0.025,6.25,43.5,-6.25,0.05
10920,29.5,327.0,36.0,223.0,325.0,323.0,3.0,0.0665,7.2,4.0,0.0763,10.3,15.1,0.0,99.5,-0.2,-3.61,0.149,14.76,0.0,0.0,0.000425,-4.51,0.782,-2.78,-12.5,144.0,117.0,0.04300000000000001,6.128,41.8,-6.25,0.0
18504,28.7,327.0,2.0,-1680.0,326.0,323.0,3.0,0.109,11.4,3.0,0.0403,2.38,16.2,0.000688,72.4,-2.97,-5.61,0.136,0.0,6.25,-6.25,0.0,-3.6,0.727,0.1,0.0,144.0,117.0,-0.029999999999999805,-43.8,72.9,43.8,-0.025
14877,29.7,327.0,43.0,709.0,325.0,322.0,3.0,0.0548,2.38,4.0,0.0782,10.1,22.1,3.3e-05,82.0,0.15,5.54,0.159,-81.2,0.0,0.0,0.000397,-4.59,0.836,-2.75,81.2,162.0,120.0,-0.15,12.5,-33.9,-12.5,0.0
16962,55.7,330.0,2.0,2150.0,329.0,330.0,50.0,0.0456,6.13,3.0,0.0296,4.85,0.0638,-6.96e-06,77.8,0.05,-2.79,0.0,-25.0,6.25,-6.25,0.0,-0.466,2.71e-19,0.0,25.0,141.0,0.0,-0.05,6.25,0.25,-6.25,0.0
3976,27.5,327.0,100.0,-93.5,325.0,321.0,6.0,0.0852,14.2,3.0,0.0157,1.68,21.6,0.00112,77.9,6.18,4.52,0.179,-37.5,0.0,0.0,9.66e-07,-0.632,0.924,0.05,37.5,144.0,117.0,-0.17999999999999972,-25.0,-22.1,25.0,0.0
12453,29.5,327.0,41.0,-1540.0,326.0,321.0,3.0,0.0587,4.03,3.0,0.113,10.0,20.9,0.000166,90.1,1.35,2.99,0.202,-71.85000000000001,-12.5,12.5,0.00066,-6.86,1.05,-2.83,68.7,162.0,120.0,-0.15000000000000013,29.92,-25.6,-31.3,0.025
15045,29.7,326.0,30.0,-307.0,325.0,321.0,3.0,0.0572,1.58,4.0,0.155,12.9,24.5,1.72e-05,103.0,0.2,3.04,0.188,-100.0,0.0,0.0,0.001,-8.34,0.979,-2.92,100.0,162.0,116.0,-0.2,0.0,-22.1,0.0,0.0
4473,119.0,329.0,0.0,-486.0,327.0,328.0,6.0,0.0194,1.31,2.5,0.02,0.909,0.215,2.01e-06,158.0,0.0,-0.459,4.03e-06,0.0,0.0,0.0,-1.36e-07,0.538,2.72e-19,-0.025,0.0,198.0,0.0,0.0,12.5,-0.25,-12.5,0.0
14966,28.7,327.0,79.0,-489.0,325.0,319.0,3.0,0.0632,2.26,4.0,0.123,10.8,15.5,-1.91e-05,96.3,0.175,-4.62,0.157,-75.0,0.0,0.0,0.000816,-6.79,0.828,-3.05,75.0,144.0,119.0,-0.175,-12.5,42.9,12.5,0.0
4857,29.5,327.0,0.0,-1250.0,326.0,327.0,50.0,0.0224,1.71,3.0,0.0226,3.93,-0.11,9.45e-07,105.0,-0.025,-0.623,0.00229,18.8,12.5,-12.5,-4.26e-06,-0.254,2.77e-19,0.05,-18.8,152.0,0.0,0.025,-18.8,-32.7,18.8,-0.025
